Province,Province Name En,Province Name Ne,District Id,District Code,District Name En,District Name Ne,GAPA Id,GAPA Code,GaPa Name En,GaPa Name Ne,Total Wards
1,Province No. 1,प्रदेश १,9,109,Panchthar,पाँचथर,2,10902,Hilihan Gaunpalika,हिलिहाङ्ग गाउँपालिका,7
1,Province No. 1,प्रदेश १,9,109,Panchthar,पाँचथर,3,10903,Falelung Gaunpalika,फालेलुङ्ग गाउँपालिका,8
1,Province No. 1,प्रदेश १,9,109,Panchthar,पाँचथर,4,10904,Phidim Municipality,फिदिम नगरपालिका,14
1,Province No. 1,प्रदेश १,9,109,Panchthar,पाँचथर,5,10905,Falgunanda Gaunpalika,फाल्गुनन्द गाउँपालिका,7
1,Province No. 1,प्रदेश १,9,109,Panchthar,पाँचथर,6,10906,Kummayak Gaunpalika,कुम्मायक गाउँपालिका,5
1,Province No. 1,प्रदेश १,9,109,Panchthar,पाँचथर,7,10907,Tumbewa Gaunpalika,तुम्बेवा गाउँपालिका,5
1,Province No. 1,प्रदेश १,9,109,Panchthar,पाँचथर,8,10908,Miklajung Gaunpalika,मिक्लाजुङ गाउँपालिका,8
1,Province No. 1,प्रदेश १,10,110,Ilam,इलाम,1,11001,Mai Jogmai Gaunpalika,माई जोगमाई गाउँपालिका,6
1,Province No. 1,प्रदेश १,10,110,Ilam,इलाम,2,11002,Sandakpur Gaunpalika,सन्दकपुर गाउँपालिका,5
1,Province No. 1,प्रदेश १,10,110,Ilam,इलाम,3,11003,Illam Municipality,ईलाम नगरपालिका,12
1,Province No. 1,प्रदेश १,10,110,Ilam,इलाम,4,11004,Deumai Municipality,देउमाई नगरपालिका,9
1,Province No. 1,प्रदेश १,10,110,Ilam,इलाम,5,11005,Fakfokathum Gaunpalika,फाकफोकथुम गाउँपालिका,7
1,Province No. 1,प्रदेश १,10,110,Ilam,इलाम,6,11006,Mangsebung Gaunpalika,माङसेबुङ गाउँपालिका,6
1,Province No. 1,प्रदेश १,10,110,Ilam,इलाम,7,11007,Chulachuli Gaunpalika,चुलाचुली गाउँपालिका,6
1,Province No. 1,प्रदेश १,10,110,Ilam,इलाम,8,11008,Mai Municipality,माई नगरपालिका,10
1,Province No. 1,प्रदेश १,10,110,Ilam,इलाम,9,11009,Suryodaya Municipality,सूर्योदय नगरपालिका,14
1,Province No. 1,प्रदेश १,10,110,Ilam,इलाम,10,11010,Rong Gaunpalika,रोङ गाउँपालिका,6
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,1,11101,Mechinagar Municipality,मेचीनगर नगरपालिका,15
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,2,11102,Buddhashanti Gaunpalika,बुद्धशान्ति गाउँपालिका,7
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,3,11103,Arjundhara Municipality,अर्जुनधारा नगरपालिका,11
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,4,11104,Kankai Municipality,कन्काई नगरपालिका,9
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,5,11105,Shivasatakshi Municipality,शिवसताक्षी नगरपालिका,11
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,6,11106,Kamal Gaunpalika,कमल गाउँपालिका,7
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,7,11107,Damak Municipality,दमक नगरपालिका,10
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,8,11108,Gauradaha Municipality,गौरादह नगरपालिका,9
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,9,11109,Gauriganj Gaunpalika,गौरिगञ्ज गाउँपालिका,6
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,10,11110,Jhapa Gaunpalika,झापा गाउँपालिका,7
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,11,11111,Barhadashi Gaunpalika,बाह्रदशी गाउँपालिका,7
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,12,11112,Birtamod Municipality,बिर्तामोड नगरपालिका,10
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,13,11113,Haldibari Gaunpalika,हल्दीबारी गाउँपालिका,5
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,14,11114,Bhadrapur Municipality,भद्रपुर नगरपालिका,10
1,Province No. 1,प्रदेश १,11,111,Jhapa,झापा,15,11115,Kachanakawal Gaunpalika,कचनकवल गाउँपालिका,7
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,1,11201,Miklajung Gaunpalika,मिक्लाजुङ गाउँपालिका,9
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,2,11202,Letang Municipality,लेटाङ नगरपालिका,9
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,3,11203,Kerabari Gaunpalika,केराबारी गाउँपालिका,10
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,4,11204,Sundarharaicha Municipality,सुन्दरहरैंचा नगरपालिका,12
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,5,11205,Belbari Municipality,बेलबारी नगरपालिका,11
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,6,11206,Kanepokhari Gaunpalika,कानेपोखरी गाउँपालिका,7
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,7,11207,Pathari Shanishchare Municipality,पथरी शनिश्चरे नगरपालिका,10
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,8,11208,Urlabari Municipality,उर्लाबारी नगरपालिका,9
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,9,11209,Ratuwamai Municipality,रतुवामाई नगरपालिका,10
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,10,11210,Sunwarshi Municipality,सुनवर्षी नगरपालिका,9
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,11,11211,Rangeli Municipality,रंगेली नगरपालिका,9
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,12,11212,Gramthan Gaunpalika,ग्रामथान गाउँपालिका,7
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,13,11213,Budhiganga Gaunpalika,बुढीगंगा गाउँपालिका,7
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,14,11214,Biratnagar Metropolitian City,बिराटनगर महानगरपालिका,19
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,15,11215,Katahari Gaunpalika,कटहरी गाउँपालिका,7
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,16,11216,Dhanapalthan Gaunpalika,धनपालथान गाउँपालिका,7
1,Province No. 1,प्रदेश १,12,112,Morang,मोरङ,17,11217,Jahada Gaunpalika,जहदा गाउँपालिका,7
1,Province No. 1,प्रदेश १,13,113,Sunsari,सुनसरी,1,11301,Dharan Sub-Metropolitian City,धरान उपमहानगरपालिका,20
1,Province No. 1,प्रदेश १,13,113,Sunsari,सुनसरी,2,11302,Barahachhetra Municipality,बराहक्षेत्र नगरपालिका,11
1,Province No. 1,प्रदेश १,13,113,Sunsari,सुनसरी,3,11303,Koshi Gaunpalika,कोशी गाउँपालिका,8
1,Province No. 1,प्रदेश १,13,113,Sunsari,सुनसरी,4,11304,Bhokraha Narsingh Gaunpalika,भोक्राहा नरसिंह गाउँपालिका,8
1,Province No. 1,प्रदेश १,13,113,Sunsari,सुनसरी,5,11305,Ramdhuni Municipality,रामधुनी नगरपालिका,9
1,Province No. 1,प्रदेश १,13,113,Sunsari,सुनसरी,6,11306,Itahari Sub-Metropolitian City,ईटहरी उपमहानगरपालिका,20
1,Province No. 1,प्रदेश १,13,113,Sunsari,सुनसरी,7,11307,Duhabi Municipality,दुहबी नगरपालिका,12
1,Province No. 1,प्रदेश १,13,113,Sunsari,सुनसरी,8,11308,Gadhi Gaunpalika,गढी गाउँपालिका,6
1,Province No. 1,प्रदेश १,13,113,Sunsari,सुनसरी,9,11309,Inaruwa Municipality,इनरुवा नगरपालिका,10
1,Province No. 1,प्रदेश १,13,113,Sunsari,सुनसरी,10,11310,Harinagar Gaunpalika,हरिनगर गाउँपालिका,7
1,Province No. 1,प्रदेश १,13,113,Sunsari,सुनसरी,11,11311,Dewangunj Gaunpalika,देवानगन्ज गाउँपालिका,7
1,Province No. 1,प्रदेश १,13,113,Sunsari,सुनसरी,12,11312,Barju Gaunpalika,बर्जु गाउँपालिका,6
1,Province No. 1,प्रदेश १,14,114,Udayapur,उदयपुर,1,11401,Belaka Municipality,बेलका नगरपालिका,9
